"ec_clean_tenant_id"|"ec_lotting_attribute_name"|"ec_lotting_attribute_value"|"ec_lotting_attribute_priority"|"itm_nbr_sus_itm"|"material_number_sap_dim_mtrl"|"usf_product_number_usf_integrated_product_master "
0vk2ppm|Storage Type|NOT APPLICABLE|05|4670352||
0vk2ppm|Packaging|CARTON|06|4670352||
0vk2ppm|Growing Area|WESTERN|07|4670352||
0vk2ppm|Growing Practices|CONVENTIONAL|08|4670352||
0vk2ppm|Product Style|WHOLE FRESH|09|4670352||
0vk2ppm|Processing|NOT IDENTIFIED|10|4670352||
0vk2ppm|Skin State|SKIN-ON|11|4670352||
0vk2ppm|Core State|WITH CORE|12|4670352||
0dmwAEl|Primary Variety|NOT IDENTIFIED|01|1494301||
0dmwAEl|Sub Variety / Color|NOT IDENTIFIED|02|1494301||
0dmwAEl|Product SZ Size/Count/Ripeness Designation|NOT IDENTIFIED|03|1494301||
0dmwAEl|Grade|US #1 FANCY|04|1494301||
0dmwAEl|Storage Type|NOT APPLICABLE|05|1494301||
0dmwAEl|Packaging|CARTON|06|1494301||
0dmwAEl|Growing Area|WESTERN|07|1494301||
0dmwAEl|Growing Practices|CONVENTIONAL|08|1494301||
0dmwAEl|Product Style|WHOLE FRESH|09|1494301||
0dmwAEl|Processing|NOT IDENTIFIED|10|1494301||
0dmwAEl|Skin State|SKIN-ON|11|1494301||
0dmwAEl|Core State|WITH CORE|12|1494301||
0pAVWsg|Primary Variety|ASIAN|01|7103922|7103922|
0pAVWsg|Sub Variety / Color|NOT IDENTIFIED|02|7103922|7103922|
0pAVWsg|Product SZ Size/Count/Ripeness Designation|NOT IDENTIFIED|03|7103922|7103922|
0pAVWsg|Grade|US #1 FANCY|04|7103922|7103922|
0pAVWsg|Storage Type|NOT APPLICABLE|05|7103922|7103922|
0pAVWsg|Packaging|CARTON|06|7103922|7103922|
0pAVWsg|Growing Area|NOT IDENTIFIED|07|7103922|7103922|
0pAVWsg|Growing Practices|CONVENTIONAL|08|7103922|7103922|
0pAVWsg|Product Style|WHOLE FRESH|09|7103922|7103922|
0pAVWsg|Processing|NOT IDENTIFIED|10|7103922|7103922|
0pAVWsg|Skin State|SKIN-ON|11|7103922|7103922|
0pAVWsg|Core State|WITH CORE|12|7103922|7103922|
0oLJPLK|Primary Variety|CONCORDE|01|2614040|2614040|
0oLJPLK|Sub Variety / Color|NOT IDENTIFIED|02|2614040|2614040|
0oLJPLK|Product SZ Size/Count/Ripeness Designation|40 CT|03|2614040|2614040|
0oLJPLK|Grade|US #1 FANCY|04|2614040|2614040|
0oLJPLK|Storage Type|NOT APPLICABLE|05|2614040|2614040|
0oLJPLK|Packaging|CARTON|06|2614040|2614040|
0oLJPLK|Growing Area|WESTERN|07|2614040|2614040|
0oLJPLK|Growing Practices|CONVENTIONAL|08|2614040|2614040|
0oLJPLK|Product Style|WHOLE FRESH|09|2614040|2614040|
0oLJPLK|Processing|NOT IDENTIFIED|10|2614040|2614040|
0oLJPLK|Skin State|SKIN-ON|11|2614040|2614040|
0oLJPLK|Core State|WITH CORE|12|2614040|2614040|
0nwwee6|Primary Variety|RED|01|6756308|6756308|
0nwwee6|Sub Variety / Color|RED|02|6756308|6756308|
0nwwee6|Product SZ Size/Count/Ripeness Designation|NOT IDENTIFIED|03|6756308|6756308|
0nwwee6|Grade|US #1 FANCY|04|6756308|6756308|
