"ec_clean_tenant_id"|"ec_lotting_attribute_name"|"ec_lotting_attribute_value"|"ec_lotting_attribute_priority"|"itm_nbr_sus_itm"|"material_number_sap_dim_mtrl"|"usf_product_number_usf_integrated_product_master "
0oAJJWo|Core State|WITH CORE|12|4630364|4630364|
0p1VNrS|Primary Variety|BARTLETT|01|4630646|4630646|
0p1VNrS|Sub Variety / Color|NOT IDENTIFIED|02|4630646|4630646|
0p1VNrS|Product SZ Size/Count/Ripeness Designation|135 CT|03|4630646|4630646|
0p1VNrS|Grade|US #1 FANCY|04|4630646|4630646|
0p1VNrS|Storage Type|NOT APPLICABLE|05|4630646|4630646|
0p1VNrS|Packaging|CARTON|06|4630646|4630646|
0p1VNrS|Growing Area|WESTERN|07|4630646|4630646|
0p1VNrS|Growing Practices|CONVENTIONAL|08|4630646|4630646|
0p1VNrS|Product Style|WHOLE FRESH|09|4630646|4630646|
0p1VNrS|Processing|NOT IDENTIFIED|10|4630646|4630646|
0p1VNrS|Skin State|SKIN-ON|11|4630646|4630646|
0p1VNrS|Core State|WITH CORE|12|4630646|4630646|
0onsV5q|Primary Variety|COMICE|01|7200850|7200850|
0onsV5q|Sub Variety / Color|NOT IDENTIFIED|02|7200850|7200850|
0onsV5q|Product SZ Size/Count/Ripeness Designation|NOT IDENTIFIED|03|7200850|7200850|
0onsV5q|Grade|US #1 FANCY|04|7200850|7200850|
0onsV5q|Storage Type|NOT APPLICABLE|05|7200850|7200850|
0onsV5q|Packaging|CARTON|06|7200850|7200850|
0onsV5q|Growing Area|WESTERN|07|7200850|7200850|
0onsV5q|Growing Practices|CONVENTIONAL|08|7200850|7200850|
0onsV5q|Product Style|WHOLE FRESH|09|7200850|7200850|
0onsV5q|Processing|NOT IDENTIFIED|10|7200850|7200850|
0onsV5q|Skin State|SKIN-ON|11|7200850|7200850|
0onsV5q|Core State|WITH CORE|12|7200850|7200850|
0pBJqpa|Primary Variety|NOT IDENTIFIED|01|0635920|0635920|
0pBJqpa|Sub Variety / Color|NOT IDENTIFIED|02|0635920|0635920|
0pBJqpa|Product SZ Size/Count/Ripeness Designation|110 CT|03|0635920|0635920|
0pBJqpa|Grade|US #1 FANCY|04|0635920|0635920|
0pBJqpa|Storage Type|NOT APPLICABLE|05|0635920|0635920|
0pBJqpa|Packaging|CARTON|06|0635920|0635920|
0pBJqpa|Growing Area|WESTERN|07|0635920|0635920|
0pBJqpa|Growing Practices|CONVENTIONAL|08|0635920|0635920|
0pBJqpa|Product Style|WHOLE FRESH|09|0635920|0635920|
0pBJqpa|Processing|NOT IDENTIFIED|10|0635920|0635920|
0pBJqpa|Skin State|SKIN-ON|11|0635920|0635920|
0pBJqpa|Core State|WITH CORE|12|0635920|0635920|
0sOATo6|Primary Variety|NOT IDENTIFIED|01|1061944||
0sOATo6|Sub Variety / Color|NOT IDENTIFIED|02|1061944||
0sOATo6|Product SZ Size/Count/Ripeness Designation|120 CT|03|1061944||
0sOATo6|Grade|US #1 FANCY|04|1061944||
0sOATo6|Storage Type|NOT APPLICABLE|05|1061944||
0sOATo6|Packaging|CARTON|06|1061944||
0sOATo6|Growing Area|WESTERN|07|1061944||
0sOATo6|Growing Practices|CONVENTIONAL|08|1061944||
0sOATo6|Product Style|WHOLE FRESH|09|1061944||
0sOATo6|Processing|NOT IDENTIFIED|10|1061944||
0sOATo6|Skin State|SKIN-ON|11|1061944||
0sOATo6|Core State|WITH CORE|12|1061944||
0wb7Y6o|Primary Variety|ANJOU|01|1532282||
0wb7Y6o|Sub Variety / Color|NOT IDENTIFIED|02|1532282||
0wb7Y6o|Product SZ Size/Count/Ripeness Designation|20 CT|03|1532282||
0wb7Y6o|Grade|US #1 FANCY|04|1532282||
0wb7Y6o|Storage Type|NOT APPLICABLE|05|1532282||
0wb7Y6o|Packaging|CARTON|06|1532282||
0wb7Y6o|Growing Area|WESTERN|07|1532282||
0wb7Y6o|Growing Practices|CONVENTIONAL|08|1532282||
0wb7Y6o|Product Style|WHOLE FRESH|09|1532282||
0wb7Y6o|Processing|NOT IDENTIFIED|10|1532282||
0wb7Y6o|Skin State|SKIN-ON|11|1532282||
0wb7Y6o|Core State|WITH CORE|12|1532282||
0pMr9Ik|Primary Variety|ANJOU|01|5445610||
0pMr9Ik|Sub Variety / Color|NOT IDENTIFIED|02|5445610||
0pMr9Ik|Product SZ Size/Count/Ripeness Designation|110 CT|03|5445610||
0pMr9Ik|Grade|US #1 FANCY|04|5445610||
0pMr9Ik|Storage Type|NOT APPLICABLE|05|5445610||
0pMr9Ik|Packaging|CARTON|06|5445610||
0pMr9Ik|Growing Area|WESTERN|07|5445610||
0pMr9Ik|Growing Practices|CONVENTIONAL|08|5445610||
0pMr9Ik|Product Style|WHOLE FRESH|09|5445610||
0pMr9Ik|Processing|NOT IDENTIFIED|10|5445610||
0pMr9Ik|Skin State|SKIN-ON|11|5445610||
0pMr9Ik|Core State|WITH CORE|12|5445610||
0uwLepK|Primary Variety|ASIAN|01|5117171||
0uwLepK|Sub Variety / Color|NOT IDENTIFIED|02|5117171||
0uwLepK|Product SZ Size/Count/Ripeness Designation|16 CT|03|5117171||
0uwLepK|Grade|US #1 FANCY|04|5117171||
0uwLepK|Storage Type|NOT APPLICABLE|05|5117171||
0uwLepK|Packaging|CARTON|06|5117171||
0uwLepK|Growing Area|NOT IDENTIFIED|07|5117171||
0uwLepK|Growing Practices|CONVENTIONAL|08|5117171||
0uwLepK|Product Style|WHOLE FRESH|09|5117171||
0uwLepK|Processing|NOT IDENTIFIED|10|5117171||
0uwLepK|Skin State|SKIN-ON|11|5117171||
0uwLepK|Core State|WITH CORE|12|5117171||
0rroxra|Primary Variety|NOT IDENTIFIED|01|7486507||
0rroxra|Sub Variety / Color|NOT IDENTIFIED|02|7486507||
0rroxra|Product SZ Size/Count/Ripeness Designation|NOT IDENTIFIED|03|7486507||
0rroxra|Grade|US #1 FANCY|04|7486507||
0rroxra|Storage Type|NOT APPLICABLE|05|7486507||
0rroxra|Packaging|CARTON|06|7486507||
0rroxra|Growing Area|WESTERN|07|7486507||
0rroxra|Growing Practices|CONVENTIONAL|08|7486507||
0rroxra|Product Style|WHOLE FRESH|09|7486507||
0rroxra|Processing|NOT IDENTIFIED|10|7486507||
0rroxra|Skin State|SKIN-ON|11|7486507||
0rroxra|Core State|WITH CORE|12|7486507||
0t62oNy|Commodity Type|SHALLOT|01|1168640||
0t62oNy|Primary Variety|NOT APPLICABLE|02|1168640||
0t62oNy|Color|NOT APPLICABLE|03|1168640||
0t62oNy|Preparation|DRIED|04|1168640||
0t62oNy|Packed In|NOT APPLICABLE|05|1168640||
0t62oNy|Processing Style|NOT APPLICABLE|06|1168640||
0t62oNy|Process Dimension|NOT APPLICABLE|07|1168640||
0t62oNy|Product Size|NOT APPLICABLE|08|1168640||
0t62oNy|Seasoning/Flavor Profile|NOT APPLICABLE|09|1168640||
0t62oNy|Growing Area|NOT APPLICABLE|10|1168640||
0t62oNy|Growing Practices|TRADITIONAL|11|1168640||
0t62oNy|Packaging|CARTON BULK|12|1168640||
0tA1oZC|Commodity Type|GARLIC|01|8351181||
0tA1oZC|Primary Variety|NOT APPLICABLE|02|8351181||
0tA1oZC|Color|NOT APPLICABLE|03|8351181||
0tA1oZC|Preparation|ROASTED|04|8351181||
0tA1oZC|Packed In|NOT APPLICABLE|05|8351181||
0tA1oZC|Processing Style|PEELED|06|8351181||
0tA1oZC|Process Dimension|NOT APPLICABLE|07|8351181||
0tA1oZC|Product Size|NOT APPLICABLE|08|8351181||
0tA1oZC|Seasoning/Flavor Profile|SEASONED|09|8351181||
0tA1oZC|Growing Area|NOT APPLICABLE|10|8351181||
0tA1oZC|Growing Practices|TRADITIONAL|11|8351181||
0tA1oZC|Packaging|CARTON JAR|12|8351181||
0t4jD7e|Commodity Type|GARLIC|01|3292265||
0t4jD7e|Primary Variety|NOT APPLICABLE|02|3292265||
0t4jD7e|Color|NOT APPLICABLE|03|3292265||
0t4jD7e|Preparation|NOT APPLICABLE|04|3292265||
0t4jD7e|Packed In|OIL|05|3292265||
0t4jD7e|Processing Style|CHOPPED|06|3292265||
0t4jD7e|Process Dimension|NOT APPLICABLE|07|3292265||
0t4jD7e|Product Size|NOT APPLICABLE|08|3292265||
0t4jD7e|Seasoning/Flavor Profile|NOT APPLICABLE|09|3292265||
0t4jD7e|Growing Area|NOT APPLICABLE|10|3292265||
0t4jD7e|Growing Practices|TRADITIONAL|11|3292265||
0t4jD7e|Packaging|CARTON BULK|12|3292265||
0rPgL4Q|Commodity Type|GINGER|01|8183081||
0rPgL4Q|Primary Variety|NOT APPLICABLE|02|8183081||
0rPgL4Q|Color|NOT APPLICABLE|03|8183081||
0rPgL4Q|Preparation|PICKLED|04|8183081||
0rPgL4Q|Packed In|NOT APPLICABLE|05|8183081||
0rPgL4Q|Processing Style|NOT APPLICABLE|06|8183081||
0rPgL4Q|Process Dimension|NOT APPLICABLE|07|8183081||
0rPgL4Q|Product Size|NOT APPLICABLE|08|8183081||
0rPgL4Q|Seasoning/Flavor Profile|NOT APPLICABLE|09|8183081||
0rPgL4Q|Growing Area|NOT APPLICABLE|10|8183081||
0rPgL4Q|Growing Practices|TRADITIONAL|11|8183081||
0rPgL4Q|Packaging|CARTON JAR|12|8183081||
0pbAeeM|Commodity Type|SHALLOT|01|1281575||
0pbAeeM|Primary Variety|NOT APPLICABLE|02|1281575||
0pbAeeM|Color|NOT APPLICABLE|03|1281575||
0pbAeeM|Preparation|DRIED|04|1281575||
0pbAeeM|Packed In|NOT APPLICABLE|05|1281575||
0pbAeeM|Processing Style|NOT APPLICABLE|06|1281575||
0pbAeeM|Process Dimension|NOT APPLICABLE|07|1281575||
0pbAeeM|Product Size|NOT APPLICABLE|08|1281575||
0pbAeeM|Seasoning/Flavor Profile|NOT APPLICABLE|09|1281575||
0pbAeeM|Growing Area|NOT APPLICABLE|10|1281575||
0pbAeeM|Growing Practices|TRADITIONAL|11|1281575||
0pbAeeM|Packaging|CARTON JAR|12|1281575||
0q1TMvu|Commodity Type|SHALLOT|01|1885201||
0q1TMvu|Primary Variety|NOT APPLICABLE|02|1885201||
0q1TMvu|Color|NOT APPLICABLE|03|1885201||
0q1TMvu|Preparation|FRESH|04|1885201||
0q1TMvu|Packed In|NOT APPLICABLE|05|1885201||
0q1TMvu|Processing Style|PEELED|06|1885201||
0q1TMvu|Process Dimension|NOT APPLICABLE|07|1885201||
0q1TMvu|Product Size|NOT APPLICABLE|08|1885201||
0q1TMvu|Seasoning/Flavor Profile|NOT APPLICABLE|09|1885201||
0q1TMvu|Growing Area|NOT APPLICABLE|10|1885201||
0q1TMvu|Growing Practices|TRADITIONAL|11|1885201||
0q1TMvu|Packaging|CARTON JAR|12|1885201||
0qeNEtq|Commodity Type|GINGER|01|3290863||
0qeNEtq|Primary Variety|NOT APPLICABLE|02|3290863||
0qeNEtq|Color|NOT APPLICABLE|03|3290863||
0qeNEtq|Preparation|PICKLED|04|3290863||
0qeNEtq|Packed In|NOT APPLICABLE|05|3290863||
0qeNEtq|Processing Style|NOT APPLICABLE|06|3290863||
0qeNEtq|Process Dimension|NOT APPLICABLE|07|3290863||
0qeNEtq|Product Size|NOT APPLICABLE|08|3290863||
0qeNEtq|Seasoning/Flavor Profile|NOT APPLICABLE|09|3290863||
0qeNEtq|Growing Area|NOT APPLICABLE|10|3290863||
0qeNEtq|Growing Practices|TRADITIONAL|11|3290863||
0qeNEtq|Packaging|CARTON JAR|12|3290863||
0qO2Y2I|Commodity Type|GARLIC|01|7304589||
0qO2Y2I|Primary Variety|NOT APPLICABLE|02|7304589||
0qO2Y2I|Color|NOT APPLICABLE|03|7304589||
0qO2Y2I|Preparation|NOT APPLICABLE|04|7304589||
0qO2Y2I|Packed In|NOT APPLICABLE|05|7304589||
0qO2Y2I|Processing Style|NOT APPLICABLE|06|7304589||
0qO2Y2I|Process Dimension|NOT APPLICABLE|07|7304589||
0qO2Y2I|Product Size|NOT APPLICABLE|08|7304589||
0qO2Y2I|Seasoning/Flavor Profile|NOT APPLICABLE|09|7304589||
0qO2Y2I|Growing Area|CHINA|10|7304589||
0qO2Y2I|Growing Practices|TRADITIONAL|11|7304589||
0qO2Y2I|Packaging|CARTON BULK|12|7304589||
0sk9Dvi|Commodity Type|GREEN GARLIC (YOUNG / SPRING)|01|4235578||
0sk9Dvi|Primary Variety|NOT APPLICABLE|02|4235578||
0sk9Dvi|Color|NOT APPLICABLE|03|4235578||
0sk9Dvi|Preparation|NOT APPLICABLE|04|4235578||
0sk9Dvi|Packed In|NOT APPLICABLE|05|4235578||
0sk9Dvi|Processing Style|WHOLE|06|4235578||
0sk9Dvi|Process Dimension|NOT APPLICABLE|07|4235578||
0sk9Dvi|Product Size|NOT APPLICABLE|08|4235578||
0sk9Dvi|Seasoning/Flavor Profile|NOT APPLICABLE|09|4235578||
0sk9Dvi|Growing Area|NOT APPLICABLE|10|4235578||
0sk9Dvi|Growing Practices|TRADITIONAL|11|4235578||
0sk9Dvi|Packaging|CARTON JAR|12|4235578||
0pbS2ze|Commodity Type|GARLIC|01|9514738||
0pbS2ze|Primary Variety|NOT APPLICABLE|02|9514738||
0pbS2ze|Color|NOT APPLICABLE|03|9514738||
0pbS2ze|Preparation|FRESH|04|9514738||
0pbS2ze|Packed In|NOT APPLICABLE|05|9514738||
0pbS2ze|Processing Style|WHOLE|06|9514738||
0pbS2ze|Process Dimension|NOT APPLICABLE|07|9514738||
0pbS2ze|Product Size|NOT APPLICABLE|08|9514738||
0pbS2ze|Seasoning/Flavor Profile|NOT APPLICABLE|09|9514738||
0pbS2ze|Growing Area|NOT APPLICABLE|10|9514738||
0pbS2ze|Growing Practices|ORGANIC|11|9514738||
0pbS2ze|Packaging|CARTON JAR|12|9514738||
0pxnL7u|Commodity Type|GINGER|01|0127886||
0pxnL7u|Primary Variety|NOT APPLICABLE|02|0127886||
0pxnL7u|Color|NOT APPLICABLE|03|0127886||
0pxnL7u|Preparation|FRESH|04|0127886||
0pxnL7u|Packed In|NOT APPLICABLE|05|0127886||
0pxnL7u|Processing Style|NOT APPLICABLE|06|0127886||
0pxnL7u|Process Dimension|NOT APPLICABLE|07|0127886||
0pxnL7u|Product Size|NOT APPLICABLE|08|0127886||
0pxnL7u|Seasoning/Flavor Profile|NOT APPLICABLE|09|0127886||
0pxnL7u|Growing Area|NOT APPLICABLE|10|0127886||
0pxnL7u|Growing Practices|ORGANIC|11|0127886||
0pxnL7u|Packaging|CARTON BAG|12|0127886||
0uJr9cc|Commodity Type|SHALLOT|01|2059228||
0uJr9cc|Primary Variety|NOT APPLICABLE|02|2059228||
0uJr9cc|Color|NOT APPLICABLE|03|2059228||
0uJr9cc|Preparation|FRESH|04|2059228||
0uJr9cc|Packed In|NOT APPLICABLE|05|2059228||
0uJr9cc|Processing Style|PEELED|06|2059228||
0uJr9cc|Process Dimension|NOT APPLICABLE|07|2059228||
0uJr9cc|Product Size|NOT APPLICABLE|08|2059228||
0uJr9cc|Seasoning/Flavor Profile|NOT APPLICABLE|09|2059228||
0uJr9cc|Growing Area|NOT APPLICABLE|10|2059228||
0uJr9cc|Growing Practices|TRADITIONAL|11|2059228||
0uJr9cc|Packaging|CARTON JAR|12|2059228||
0swN4ic|Commodity Type|GINGER|01|5120179||
0swN4ic|Primary Variety|NOT APPLICABLE|02|5120179||
0swN4ic|Color|WHITE|03|5120179||
0swN4ic|Preparation|PICKLED|04|5120179||
0swN4ic|Packed In|NOT APPLICABLE|05|5120179||
0swN4ic|Processing Style|SLICED|06|5120179||
0swN4ic|Process Dimension|NOT APPLICABLE|07|5120179||
0swN4ic|Product Size|NOT APPLICABLE|08|5120179||
0swN4ic|Seasoning/Flavor Profile|NOT APPLICABLE|09|5120179||
0swN4ic|Growing Area|NOT APPLICABLE|10|5120179||
0swN4ic|Growing Practices|TRADITIONAL|11|5120179||
0swN4ic|Packaging|CARTON BULK|12|5120179||
0oNVaoY|Commodity Type|GARLIC|01|8964468|8964468|
0oNVaoY|Primary Variety|NOT APPLICABLE|02|8964468|8964468|
0oNVaoY|Color|NOT APPLICABLE|03|8964468|8964468|
0oNVaoY|Preparation|ROASTED|04|8964468|8964468|
0oNVaoY|Packed In|NOT APPLICABLE|05|8964468|8964468|
0oNVaoY|Processing Style|PUREE|06|8964468|8964468|
0oNVaoY|Process Dimension|NOT APPLICABLE|07|8964468|8964468|
0oNVaoY|Product Size|NOT APPLICABLE|08|8964468|8964468|
0oNVaoY|Seasoning/Flavor Profile|NOT APPLICABLE|09|8964468|8964468|
0oNVaoY|Growing Area|NOT APPLICABLE|10|8964468|8964468|
0oNVaoY|Growing Practices|TRADITIONAL|11|8964468|8964468|
0oNVaoY|Packaging|CARTON JAR|12|8964468|8964468|
0reVk5m|Commodity Type|GINGER|01|4866485||
0reVk5m|Primary Variety|NOT APPLICABLE|02|4866485||
0reVk5m|Color|NOT APPLICABLE|03|4866485||
0reVk5m|Preparation|NOT APPLICABLE|04|4866485||
0reVk5m|Packed In|NOT APPLICABLE|05|4866485||
0reVk5m|Processing Style|PUREE|06|4866485||
0reVk5m|Process Dimension|NOT APPLICABLE|07|4866485||
0reVk5m|Product Size|NOT APPLICABLE|08|4866485||
0reVk5m|Seasoning/Flavor Profile|NOT APPLICABLE|09|4866485||
0reVk5m|Growing Area|NOT APPLICABLE|10|4866485||
0reVk5m|Growing Practices|TRADITIONAL|11|4866485||
0reVk5m|Packaging|CARTON BULK|12|4866485||
0oEUPrS|Commodity Type|GARLIC|01|3566734|3566734|
0oEUPrS|Primary Variety|NOT APPLICABLE|02|3566734|3566734|
0oEUPrS|Color|NOT APPLICABLE|03|3566734|3566734|
0oEUPrS|Preparation|ROASTED|04|3566734|3566734|
0oEUPrS|Packed In|NOT APPLICABLE|05|3566734|3566734|
0oEUPrS|Processing Style|NOT APPLICABLE|06|3566734|3566734|
0oEUPrS|Process Dimension|NOT APPLICABLE|07|3566734|3566734|
0oEUPrS|Product Size|NOT APPLICABLE|08|3566734|3566734|
0oEUPrS|Seasoning/Flavor Profile|NOT APPLICABLE|09|3566734|3566734|
0oEUPrS|Growing Area|NOT APPLICABLE|10|3566734|3566734|
0oEUPrS|Growing Practices|TRADITIONAL|11|3566734|3566734|
0oEUPrS|Packaging|CARTON JAR|12|3566734|3566734|
0nWv7v4|Commodity Type|GARLIC|01|1048172|1048172|
0nWv7v4|Primary Variety|NOT APPLICABLE|02|1048172|1048172|
0nWv7v4|Color|NOT APPLICABLE|03|1048172|1048172|
0nWv7v4|Preparation|FRESH|04|1048172|1048172|
0nWv7v4|Packed In|NOT APPLICABLE|05|1048172|1048172|
0nWv7v4|Processing Style|NOT APPLICABLE|06|1048172|1048172|
0nWv7v4|Process Dimension|NOT APPLICABLE|07|1048172|1048172|
0nWv7v4|Product Size|LARGE|08|1048172|1048172|
0nWv7v4|Seasoning/Flavor Profile|NOT APPLICABLE|09|1048172|1048172|
0nWv7v4|Growing Area|NOT APPLICABLE|10|1048172|1048172|
0nWv7v4|Growing Practices|TRADITIONAL|11|1048172|1048172|
0nWv7v4|Packaging|CARTON BULK|12|1048172|1048172|
0uPPIKU|Commodity Type|GINGER|01|1564236||
0uPPIKU|Primary Variety|NOT APPLICABLE|02|1564236||
0uPPIKU|Color|NOT APPLICABLE|03|1564236||
0uPPIKU|Preparation|FRESH|04|1564236||
0uPPIKU|Packed In|NOT APPLICABLE|05|1564236||
0uPPIKU|Processing Style|DICED|06|1564236||
0uPPIKU|Process Dimension|1/4""|07|1564236||
0uPPIKU|Product Size|NOT APPLICABLE|08|1564236||
0uPPIKU|Seasoning/Flavor Profile|NOT APPLICABLE|09|1564236||
0uPPIKU|Growing Area|NOT APPLICABLE|10|1564236||
0uPPIKU|Growing Practices|TRADITIONAL|11|1564236||
0uPPIKU|Packaging|CARTON JAR|12|1564236||
0nwJKeU|Commodity Type|GINGER|01|2257921|2257921|
0nwJKeU|Primary Variety|ROOT|02|2257921|2257921|
0nwJKeU|Color|NOT APPLICABLE|03|2257921|2257921|
0nwJKeU|Preparation|NOT APPLICABLE|04|2257921|2257921|
0nwJKeU|Packed In|NOT APPLICABLE|05|2257921|2257921|
0nwJKeU|Processing Style|NOT APPLICABLE|06|2257921|2257921|
0nwJKeU|Process Dimension|NOT APPLICABLE|07|2257921|2257921|
0nwJKeU|Product Size|NOT APPLICABLE|08|2257921|2257921|
0nwJKeU|Seasoning/Flavor Profile|NOT APPLICABLE|09|2257921|2257921|
0nwJKeU|Growing Area|NOT APPLICABLE|10|2257921|2257921|
0nwJKeU|Growing Practices|TRADITIONAL|11|2257921|2257921|
0nwJKeU|Packaging|CARTON JAR|12|2257921|2257921|
0pNzgLW|Commodity Type|GINGER|01|3880168||
0pNzgLW|Primary Variety|ROOT|02|3880168||
0pNzgLW|Color|NOT APPLICABLE|03|3880168||
0pNzgLW|Preparation|FRESH|04|3880168||
0pNzgLW|Packed In|NOT APPLICABLE|05|3880168||
0pNzgLW|Processing Style|NOT APPLICABLE|06|3880168||
0pNzgLW|Process Dimension|NOT APPLICABLE|07|3880168||
0pNzgLW|Product Size|NOT APPLICABLE|08|3880168||
0pNzgLW|Seasoning/Flavor Profile|NOT APPLICABLE|09|3880168||
0pNzgLW|Growing Area|NOT APPLICABLE|10|3880168||
0pNzgLW|Growing Practices|TRADITIONAL|11|3880168||
0pNzgLW|Packaging|CARTON JAR|12|3880168||
0pE2LY6|Commodity Type|SHALLOT|01|9582545||
0pE2LY6|Primary Variety|NOT APPLICABLE|02|9582545||
0pE2LY6|Color|NOT APPLICABLE|03|9582545||
0pE2LY6|Preparation|FRESH|04|9582545||
0pE2LY6|Packed In|NOT APPLICABLE|05|9582545||
0pE2LY6|Processing Style|NOT APPLICABLE|06|9582545||
0pE2LY6|Process Dimension|NOT APPLICABLE|07|9582545||
0pE2LY6|Product Size|NOT APPLICABLE|08|9582545||
0pE2LY6|Seasoning/Flavor Profile|NOT APPLICABLE|09|9582545||
0pE2LY6|Growing Area|NOT APPLICABLE|10|9582545||
0pE2LY6|Growing Practices|TRADITIONAL|11|9582545||
0pE2LY6|Packaging|CARTON JAR|12|9582545||
0vO4EEg|Commodity Type|GARLIC|01|3785458||
0vO4EEg|Primary Variety|NOT APPLICABLE|02|3785458||
0vO4EEg|Color|NOT APPLICABLE|03|3785458||
0vO4EEg|Preparation|NOT APPLICABLE|04|3785458||
0vO4EEg|Packed In|OIL|05|3785458||
0vO4EEg|Processing Style|CHOPPED|06|3785458||
0vO4EEg|Process Dimension|NOT APPLICABLE|07|3785458||
0vO4EEg|Product Size|NOT APPLICABLE|08|3785458||
0vO4EEg|Seasoning/Flavor Profile|NOT APPLICABLE|09|3785458||
0vO4EEg|Growing Area|NOT APPLICABLE|10|3785458||
0vO4EEg|Growing Practices|TRADITIONAL|11|3785458||
0vO4EEg|Packaging|CARTON BULK|12|3785458||
0vY1Z26|Commodity Type|GINGER|01|0463315||
0vY1Z26|Primary Variety|NOT APPLICABLE|02|0463315||
0vY1Z26|Color|NOT APPLICABLE|03|0463315||
0vY1Z26|Preparation|PICKLED|04|0463315||
0vY1Z26|Packed In|NOT APPLICABLE|05|0463315||
0vY1Z26|Processing Style|NOT APPLICABLE|06|0463315||
0vY1Z26|Process Dimension|NOT APPLICABLE|07|0463315||
0vY1Z26|Product Size|NOT APPLICABLE|08|0463315||
0vY1Z26|Seasoning/Flavor Profile|NOT APPLICABLE|09|0463315||
0vY1Z26|Growing Area|NOT APPLICABLE|10|0463315||
0vY1Z26|Growing Practices|TRADITIONAL|11|0463315||
0vY1Z26|Packaging|CARTON JAR|12|0463315||
0vOfpfq|Commodity Type|GARLIC|01|1077948||
0vOfpfq|Primary Variety|NOT APPLICABLE|02|1077948||
0vOfpfq|Color|NOT APPLICABLE|03|1077948||
0vOfpfq|Preparation|NOT APPLICABLE|04|1077948||
0vOfpfq|Packed In|NOT APPLICABLE|05|1077948||
0vOfpfq|Processing Style|MINCED|06|1077948||
0vOfpfq|Process Dimension|NOT APPLICABLE|07|1077948||
0vOfpfq|Product Size|NOT APPLICABLE|08|1077948||
0vOfpfq|Seasoning/Flavor Profile|NOT APPLICABLE|09|1077948||
0vOfpfq|Growing Area|NOT APPLICABLE|10|1077948||
0vOfpfq|Growing Practices|TRADITIONAL|11|1077948||
0vOfpfq|Packaging|CARTON JAR|12|1077948||
0rlGXZu|Commodity Type|GARLIC|01|6070399||
0rlGXZu|Primary Variety|NOT APPLICABLE|02|6070399||
0rlGXZu|Color|NOT APPLICABLE|03|6070399||
0rlGXZu|Preparation|DRIED|04|6070399||
0rlGXZu|Packed In|NOT APPLICABLE|05|6070399||
0rlGXZu|Processing Style|SLICED|06|6070399||
0rlGXZu|Process Dimension|NOT APPLICABLE|07|6070399||
0rlGXZu|Product Size|NOT APPLICABLE|08|6070399||
0rlGXZu|Seasoning/Flavor Profile|NOT APPLICABLE|09|6070399||
0rlGXZu|Growing Area|NOT APPLICABLE|10|6070399||
0rlGXZu|Growing Practices|TRADITIONAL|11|6070399||
0rlGXZu|Packaging|CARTON BULK|12|6070399||
0nv9Uco|Commodity Type|GINGER|01|0977165|0977165|
0nv9Uco|Primary Variety|GALANGAL|02|0977165|0977165|
0nv9Uco|Color|NOT APPLICABLE|03|0977165|0977165|
0nv9Uco|Preparation|NOT APPLICABLE|04|0977165|0977165|
0nv9Uco|Packed In|NOT APPLICABLE|05|0977165|0977165|
0nv9Uco|Processing Style|WHOLE|06|0977165|0977165|
0nv9Uco|Process Dimension|NOT APPLICABLE|07|0977165|0977165|
0nv9Uco|Product Size|NOT APPLICABLE|08|0977165|0977165|
0nv9Uco|Seasoning/Flavor Profile|NOT APPLICABLE|09|0977165|0977165|
0nv9Uco|Growing Area|NOT APPLICABLE|10|0977165|0977165|
0nv9Uco|Growing Practices|TRADITIONAL|11|0977165|0977165|
0nv9Uco|Packaging|CARTON BAG|12|0977165|0977165|
0o5uSkY|Commodity Type|GARLIC|01|7634740|7634740|
0o5uSkY|Primary Variety|NOT APPLICABLE|02|7634740|7634740|
0o5uSkY|Color|NOT APPLICABLE|03|7634740|7634740|
0o5uSkY|Preparation|DRIED|04|7634740|7634740|
0o5uSkY|Packed In|NOT APPLICABLE|05|7634740|7634740|
0o5uSkY|Processing Style|MINCED|06|7634740|7634740|
0o5uSkY|Process Dimension|NOT APPLICABLE|07|7634740|7634740|
0o5uSkY|Product Size|NOT APPLICABLE|08|7634740|7634740|
0o5uSkY|Seasoning/Flavor Profile|NOT APPLICABLE|09|7634740|7634740|
0o5uSkY|Growing Area|NOT APPLICABLE|10|7634740|7634740|
0o5uSkY|Growing Practices|TRADITIONAL|11|7634740|7634740|
0o5uSkY|Packaging|CARTON BAG|12|7634740|7634740|
0nujIiU|Commodity Type|GARLIC|01|2539029|2539029|
0nujIiU|Primary Variety|NOT APPLICABLE|02|2539029|2539029|
0nujIiU|Color|BLACK|03|2539029|2539029|
0nujIiU|Preparation|NOT APPLICABLE|04|2539029|2539029|
0nujIiU|Packed In|NOT APPLICABLE|05|2539029|2539029|
0nujIiU|Processing Style|NOT APPLICABLE|06|2539029|2539029|
0nujIiU|Process Dimension|NOT APPLICABLE|07|2539029|2539029|
0nujIiU|Product Size|NOT APPLICABLE|08|2539029|2539029|
0nujIiU|Seasoning/Flavor Profile|NOT APPLICABLE|09|2539029|2539029|
0nujIiU|Growing Area|NOT APPLICABLE|10|2539029|2539029|
0nujIiU|Growing Practices|TRADITIONAL|11|2539029|2539029|
0nujIiU|Packaging|CARTON BAG|12|2539029|2539029|
0na7fEM|Commodity Type|GARLIC|01|0985818|0985818|
0na7fEM|Primary Variety|NOT APPLICABLE|02|0985818|0985818|
0na7fEM|Color|NOT APPLICABLE|03|0985818|0985818|
